t_s,dtw_relaxed,dtw_open,dtw_close,env,fsm,gripper,fired
18.094,533.48,1151.95,2569.55,8.1,IDLE,open,
18.143,398.85,1163.84,2577.97,8.1,IDLE,open,
18.191,534.03,1186.39,2378.88,24.2,IDLE,open,
18.236,724.52,1445.88,2697.21,281.0,PULSE,open,
18.282,646.62,1556.62,2368.65,190.3,PULSE,open,
18.328,788.25,1243.57,1521.10,63.5,PULSE,open,
18.374,622.59,1161.09,1514.97,116.5,PULSE,open,
18.420,706.13,1208.15,1590.04,130.3,PULSE,open,
18.469,759.28,1180.77,1722.38,147.3,PULSE,open,
18.518,655.51,1329.05,1860.45,146.1,PULSE,open,
18.562,818.22,1404.14,1924.84,123.1,PULSE,open,
18.609,589.05,1228.30,1862.48,90.4,PULSE,open,
18.655,824.00,974.66,1467.79,66.0,PULSE,open,
18.703,542.53,707.37,1268.57,42.8,PULSE,open,
18.748,753.33,559.99,1225.50,30.3,PULSE,open,
18.809,529.37,550.01,1336.89,11.4,REFRACTORY,open,open
18.846,746.27,538.78,1251.31,4.4,REFRACTORY,open,
18.904,549.59,593.33,1333.18,7.3,REFRACTORY,open,
18.942,731.62,465.61,1280.98,9.6,REFRACTORY,open,
18.998,616.35,500.25,1266.36,12.2,REFRACTORY,open,
19.036,708.36,419.09,1316.04,16.9,REFRACTORY,open,
19.091,698.46,441.20,1266.29,17.9,REFRACTORY,open,
19.128,684.06,333.52,1377.55,19.7,REFRACTORY,open,
19.184,803.54,342.94,1292.85,22.6,REFRACTORY,open,
19.222,663.41,461.13,1308.89,23.7,REFRACTORY,open,
19.280,920.61,340.07,1343.17,24.5,REFRACTORY,open,
19.318,752.27,480.21,1260.37,25.2,REFRACTORY,open,
19.358,1019.50,569.45,1115.87,26.1,REFRACTORY,open,
19.416,766.60,540.36,1128.55,28.6,REFRACTORY,open,
19.454,957.50,455.95,1066.14,29.6,REFRACTORY,open,
19.509,819.98,517.33,1052.44,30.0,REFRACTORY,open,
19.547,878.56,384.65,1077.68,30.5,REFRACTORY,open,
19.605,826.50,409.42,1023.67,33.6,REFRACTORY,open,
19.641,741.01,291.43,1218.20,32.1,REFRACTORY,open,
19.698,824.43,332.94,1081.79,29.0,REFRACTORY,open,
19.732,660.79,384.38,1209.39,28.9,REFRACTORY,open,
19.791,829.24,255.56,1180.98,29.4,REFRACTORY,open,
19.827,599.34,466.43,1109.71,28.2,REFRACTORY,open,
19.887,831.97,390.93,1219.37,24.4,REFRACTORY,open,
19.924,586.13,553.97,1029.20,22.5,REFRACTORY,open,
19.981,796.82,514.35,1090.39,13.9,REFRACTORY,open,
20.020,593.36,534.78,1051.53,9.9,REFRACTORY,open,
20.074,749.19,545.54,1069.84,6.6,REFRACTORY,open,
20.111,652.71,385.52,1087.63,9.3,REFRACTORY,open,
20.167,670.15,462.47,1185.63,17.6,REFRACTORY,open,
20.203,699.61,1600.15,2626.28,24.0,REFRACTORY,open,
20.264,615.27,1486.18,2494.31,29.8,REFRACTORY,open,
20.300,718.09,1232.21,2186.58,33.6,REFRACTORY,open,
20.345,484.40,1784.75,3066.66,35.1,REFRACTORY,open,
20.400,741.49,1695.58,2952.94,41.1,REFRACTORY,open,
20.438,475.38,1615.96,2859.53,39.3,REFRACTORY,open,
20.489,768.12,1492.44,2732.47,35.0,REFRACTORY,open,
20.540,492.83,1332.47,2614.04,28.0,REFRACTORY,open,
20.584,746.73,1233.15,2538.15,22.6,REFRACTORY,open,
20.637,600.50,1161.81,2482.37,18.5,REFRACTORY,open,
20.676,699.97,1138.34,2455.19,14.4,REFRACTORY,open,
20.727,682.29,1116.46,2454.56,6.3,REFRACTORY,open,
20.765,626.20,1118.43,2453.17,2.7,REFRACTORY,open,
20.821,783.88,1135.29,2482.19,2.9,REFRACTORY,open,
20.859,597.06,1147.41,2504.90,5.6,IDLE,open,
20.975,659.87,1151.94,2526.56,18.9,IDLE,open,
21.023,761.26,1163.93,2555.22,22.4,IDLE,open,
21.063,562.85,1158.80,2557.22,25.2,IDLE,open,
21.119,785.05,1157.52,2545.62,29.9,IDLE,open,
21.155,535.70,1166.21,2524.91,31.4,IDLE,open,
21.211,812.49,1171.89,2475.41,39.3,IDLE,open,
