t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
16.784,1608.25,910.06,956.76,47.3,REFRACTORY,open,
16.825,1587.36,810.31,994.72,49.2,REFRACTORY,open,
16.871,1441.56,886.95,905.47,49.8,REFRACTORY,open,
16.918,1715.05,894.39,880.66,54.2,REFRACTORY,open,
16.966,1458.85,933.48,890.93,57.0,REFRACTORY,open,
17.014,1838.23,932.95,792.47,58.6,REFRACTORY,open,
17.061,1524.00,945.29,942.56,65.3,REFRACTORY,open,
17.107,1893.64,940.31,786.62,68.6,REFRACTORY,open,
17.152,1695.57,945.72,900.70,75.9,REFRACTORY,open,
17.210,2078.61,949.03,838.32,77.6,REFRACTORY,open,
17.264,1894.98,902.22,768.16,70.4,REFRACTORY,open,
17.318,2274.10,835.84,886.08,62.6,REFRACTORY,open,
17.363,1897.19,870.79,798.12,53.6,REFRACTORY,open,
17.405,2108.52,856.29,870.82,46.5,REFRACTORY,open,
17.445,2064.86,772.33,817.39,37.0,REFRACTORY,open,
17.484,1849.75,781.58,870.31,31.7,REFRACTORY,open,
17.540,2070.59,753.90,843.11,27.0,REFRACTORY,open,
17.581,1765.43,850.13,810.10,24.5,REFRACTORY,open,
17.634,2115.24,921.53,988.12,30.6,REFRACTORY,open,
17.672,1721.02,921.59,842.71,41.7,REFRACTORY,open,
17.728,2116.72,1012.78,999.27,60.9,REFRACTORY,open,
17.768,1772.73,1099.78,991.12,75.6,REFRACTORY,open,
17.807,1914.52,1114.68,1060.15,90.1,REFRACTORY,open,
17.869,1817.28,1430.45,1058.03,113.4,REFRACTORY,open,
17.909,1980.95,1844.74,1024.67,128.3,REFRACTORY,open,
17.962,1944.72,2071.96,1228.70,142.7,REFRACTORY,open,
18.002,1909.25,2103.69,1103.06,153.3,REFRACTORY,open,
18.045,2194.41,2080.11,1325.40,161.3,REFRACTORY,open,
18.104,2029.04,2210.07,1239.96,171.0,REFRACTORY,open,
18.143,2318.11,2700.56,1348.87,172.6,REFRACTORY,open,
18.199,2039.98,2746.53,1462.42,161.0,REFRACTORY,open,
18.238,2439.81,2743.89,1327.37,147.2,REFRACTORY,open,
18.276,2143.52,2713.39,1432.94,133.0,REFRACTORY,open,
18.325,2339.38,2630.38,1335.63,110.7,REFRACTORY,open,
18.385,2188.50,2524.76,1506.78,86.2,REFRACTORY,open,
18.431,2403.76,2095.76,1325.21,58.2,REFRACTORY,open,
18.472,2197.50,2019.64,1322.70,43.2,REFRACTORY,open,
18.512,2016.51,2016.09,1249.88,26.1,REFRACTORY,open,
18.560,2124.37,1974.83,1268.25,11.7,REFRACTORY,open,
18.606,1837.89,1972.22,1307.56,7.5,REFRACTORY,open,
18.655,2140.13,2000.26,1258.32,22.1,REFRACTORY,open,
18.705,1807.47,1836.04,1237.26,39.7,REFRACTORY,open,
18.749,2170.87,1751.11,1247.20,49.3,REFRACTORY,open,
18.796,1826.66,1704.82,1272.76,52.8,REFRACTORY,open,
18.843,2172.65,1672.00,1265.04,57.0,REFRACTORY,open,
18.889,1912.27,1663.09,1277.06,56.9,REFRACTORY,open,
18.937,2151.82,1669.90,1265.12,54.5,REFRACTORY,open,
18.985,2015.24,1674.64,1234.48,52.7,REFRACTORY,open,
19.033,2089.01,1699.80,1180.55,51.8,REFRACTORY,open,
19.073,2170.83,1713.40,1122.71,54.9,REFRACTORY,open,
19.127,2036.24,1753.86,1074.48,57.2,REFRACTORY,open,
19.171,2267.16,1695.24,1040.47,62.1,REFRACTORY,open,
19.218,2002.59,1632.35,1029.04,68.1,REFRACTORY,open,
19.312,2035.41,1509.76,1018.03,68.4,REFRACTORY,open,
19.357,2413.68,1470.68,994.52,69.9,REFRACTORY,open,
19.405,2121.99,1439.65,859.91,74.3,REFRACTORY,open,
19.453,2444.84,1429.90,821.00,79.8,REFRACTORY,open,
19.499,2281.69,1439.37,868.69,85.6,REFRACTORY,open,
19.542,2395.10,1463.72,833.33,89.7,REFRACTORY,open,
19.589,2477.38,1494.06,916.73,95.9,REFRACTORY,open,
19.650,2568.46,1549.99,871.96,102.4,REFRACTORY,open,
19.689,2643.31,1624.19,913.00,102.5,REFRACTORY,open,
19.746,2204.86,1704.93,866.65,97.0,REFRACTORY,open,
19.784,2229.93,1771.47,817.32,94.4,REFRACTORY,open,
19.826,2083.28,1836.62,860.99,98.4,REFRACTORY,open,
19.886,2045.37,1955.01,834.37,97.0,REFRACTORY,open,
19.925,2049.86,2008.73,921.47,98.4,REFRACTORY,open,
19.966,2054.26,2089.54,840.88,100.8,REFRACTORY,open,
20.024,2028.27,2171.24,867.35,95.8,REFRACTORY,open,
20.066,1899.12,2216.85,862.09,89.8,REFRACTORY,open,
20.116,1846.32,2219.55,812.99,86.1,REFRACTORY,open,
20.154,1711.77,2212.18,867.49,82.7,REFRACTORY,open,
20.212,1722.36,2186.50,824.25,73.1,REFRACTORY,open,
20.252,1602.96,2197.67,901.17,73.7,REFRACTORY,open,
20.306,1658.48,2215.77,815.02,65.6,REFRACTORY,open,
20.346,1579.07,2294.58,839.15,64.8,REFRACTORY,open,
20.395,1603.91,2388.06,800.17,60.5,REFRACTORY,open,
20.441,1599.02,2328.70,734.53,54.6,REFRACTORY,open,
20.482,1618.11,2285.50,781.68,50.7,REFRACTORY,open,
20.526,1685.98,2225.73,723.79,47.6,REFRACTORY,open,
20.591,1586.62,2218.58,825.24,40.8,REFRACTORY,open,
20.630,1593.76,2251.05,803.81,38.1,REFRACTORY,open,
20.681,1487.75,2250.12,788.48,32.6,REFRACTORY,open,
20.720,1468.88,2248.98,850.54,32.2,REFRACTORY,open,
20.776,1373.49,2216.64,762.15,27.4,REFRACTORY,open,
20.824,1331.05,2228.35,885.60,24.5,REFRACTORY,open,
20.872,1365.52,2244.10,791.51,26.8,REFRACTORY,open,
20.920,1313.08,2216.76,918.14,24.5,REFRACTORY,open,
